character1,character2,relation,note
Eden,-,- ,-
Inoi,Eden,4 - lubienie,ale lepiej trzymać dystans
Kiaran,Eden,4 - lubienie,miały bonding moment
Sylvara,Eden,9 - bardzo lubienie,"martwi się o nią po, szczególnie po pożyczeniu ciała"
Ireena,Eden,2 - zauroczenie,"czuje się przy niej sobą i czuje siłę, sama nadal nie rozumiem tego uczucia"
Eden,Inoi,9 - bardzo lubienie,chociaż nie zawsze rozumie
Inoi,Inoi,- ,- kc 4ever
Sylvara,Inoi,9 - bardzo lubienie,"bardzo mądra, dużo myśli"
Kiaran,Inoi,4 - lubienie,zdjęła klątwę z Inoi
Ireena,Inoi,4 - lubienie,"jestem jej wdzięczna za pomoc, chciałabym lepiej ją poznać"
Eden ,Kiaran,9 - bardzo lubienie,przez palladyństwo trochę jak siostrę
Inoi,Kiaran,9 - bardzo lubienie,zrobi co może żeby jej pomóc i się odwdzięczyć
Kiaran ,-,- ,-
Sylvara,Kiaran,10 - to skomplikowane,love hate relationship oparta na wzajemnym ranieniu się słownym bądź nie
Ireena,Kiaran,10 - to skomplikowane,"widziałam jej piękno w snach, doceniam ogromnie jej pomoc i troskę, ale wydaje się zaborcza"
Eden ,Sylvara,9 - bardzo lubienie,chociaż teraz czuje się źle przez pożyczenie ciała 
Inoi,Sylvara,9 - bardzo lubienie,strasznie się o nią martwi
Kiaran ,Sylvara,10 - to skomplikowane,"głupia mądralińska baba, która uważa, że nigdy się nie myli, ale ewidentnie ciągle gapi mi się na tyłek, w ogóle to nie zna życia ani trochę, jest denerwująca, myśli, że może wszystkich przegadać i gadać jakies głupoty i zachowuje się jakby nie rozumiała, że nie każdy zna jej dziwną kulturę, w ogóle beznadziejnie śpiewa, dziwne jak na barda, strasznie wkurzająca i uparta, umarłabym za nią"
Sylvara,-,- ,-
Ireena,Sylvara,4 - lubienie,"jestem jej wdzięczna za pomoc, chciałabym ją lepiej poznać"
Eden ,Ireena,2 - zauroczenie,ale nie jest gotowa
Inoi,Ireena,4 - lubienie,trzeba się nią opiekować
Kiaran,Ireena,10 - to skomplikowane,https://www.youtube.com/watch?v=4WTt69YO2VI
Sylvara,Ireena,4 - lubienie,"uważa, że jest bardzo spoko, ale z lekkim dystansem"
Ireena,-,- ,-
Eden,Ismark,4 - lubienie,i niech mu się wiedzie
Inoi,Ismark,4 - lubienie,oby miał się dobrze
Kiaran,Ismark,5 - neutralność,
Sylvara,Ismark,4 - lubienie,ładny
Ireena,Ismark,1 - miłość,kochany braciszek
Eden,Muriel,4 - lubienie,esher trauma bond
Inoi,Muriel,5 - neutralność,ciągle jej nie rozumiem
Kiaran,Muriel,5 - neutralność,"jest okej, trochę dziwna"
Sylvara,Muriel,5 - neutralność,nie miała okazji jej bardziej poznać
Ireena,Muriel,5 - neutralność,dużo przed nami ukrywała
Eden ,Vasili,4 - lubienie,przystojny mężczyzna
Inoi,Vasili,4 - lubienie,chociaż chyba nie jest z nami szczery
Kiaran,Vasili,5 - neutralność,mężczyzna
Sylvara,Vasili,5 - neutralność,"ładny, ale mu nie ufa"
Ireena,Vasili,2 - zauroczenie,"bardziej fascynacja niż zauroczenie, jego piękne spojrzenie wydaje się znajome jej sercu"